#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
5b3f165528bae224b63bf34f47d6b3e1	Bacteria	 Spirochaetes	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Spirochaeta	 aurantia
923143be31a3265ce8e95bfc957aa8e1	Bacteria	 Planctomycetes	 Phycisphaerae	 Phycisphaerales	 	 	 
55d17e85d5cb4630da08d83e960b3ec3	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
2f1ded4f921e8705043a0943c467ddbb	Bacteria	 Chloroflexi	 Ktedonobacteria	 JG30-KF-AS9	 	 	 
7a8b07a59b09e87a225f1a16dfde038f	Bacteria	 Acidobacteria	 PAUC37f	 	 	 	 
0460f897285fd45fc6bc8cf25c95f00a	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 	 
7827e9cf51a25a513f6415200552c975	Bacteria	 Proteobacteria	 Betaproteobacteria	 SC-I-84	 	 	 
a2cabcab8b27bfd465125fda846ce38d	Bacteria	 Verrucomicrobia	 [Pedosphaerae]	 [Pedosphaerales]	 Ellin515	 	 
1bbd0a45fff86dd1f6b2e133e5f313c4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Coprococcus	 
f1ce944c084158658d76fc32ed7a218c	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Ellin5290	 	 	 
fd7860cd41ea0481d2312da40b94599b	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	
49efb071fd99992882c1dc90500e45cc	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Agrobacterium	 
db67979cd5c197696aabac1e2fddc0a2	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Arenibacter	 
84b5300e4630b79ccba5a2d66906d2ba	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 [Weeksellaceae]	 Riemerella	 
7694ec1ab051fe9164a1b732d6ea56ff	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Koribacteraceae	 Candidatus Koribacter	 
