#NAME	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	989.0	271.0	669.0	137.0	268.0	46.0	222.0	149.0	483.0	30.0	418.0	67.0	348.0	37.0	2049.0	250.0	459.0	170.0	836.0	89.0	419.0	147.0	48.0	516.0	565.0	555.0	705.0	1127.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea	0.0	16.0	0.0	14.0	436.0	0.0	0.0	31.0	573.0	261.0	630.0	0.0	437.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3251.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Gluconacetobacter	0.0	47.0	0.0	81.0	696.0	541.0	137.0	906.0	0.0	29.0	85.0	146.0	225.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	26.0	0.0	0.0	36.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__;g__	341.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	198.0	0.0	3132.0	0.0	0.0	0.0	0.0	0.0	451.0	0.0	396.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	557.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter	64.0	14.0	0.0	516.0	227.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	69.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0	3058.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylovirgula	0.0	23.0	52.0	157.0	74.0	171.0	125.0	535.0	1193.0	89.0	108.0	0.0	96.0	141.0	36.0	0.0	202.0	399.0	333.0	169.0	329.0	253.0	0.0	0.0	47.0	563.0	208.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Rahnella	0.0	0.0	0.0	0.0	135.0	83.0	15.0	53.0	0.0	491.0	492.0	0.0	31.0	111.0	1112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__	3206.0	19.0	0.0	0.0	123.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	27.0	26.0	33.0	17.0	410.0	0.0	178.0	45.0	0.0	140.0	35.0	34.0	4.0	1162.0	137.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__	0.0	22.0	2488.0	0.0	24.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	206.0	37.0	172.0	0.0	13.0	0.0	622.0	0.0	443.0	63.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	3595.0	175.0	958.0	0.0	208.0	0.0	128.0	0.0	275.0	0.0	229.0	0.0	341.0	0.0	0.0	0.0	292.0	0.0	95.0	0.0	692.0	0.0	486.0	122.0	441.0	161.0	552.0	761.0	0.0
