#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
9913a90aa384a6fa01e13b87059e0df4	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__
c0a05dd1362163128d1a4c4182d3ddcb	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
b49e26aad84da63b6892dfaa6d381ffc	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	NA
e44054e14d900be7c93cbe8487854516	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
3e9d3b79819da359c587b6529e7775d1	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	g__	s__
bb6f527d9554d993951bf44abd633170	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Catellatospora	s__
aab51263c82a06dae2e2fd5fdb3f58a4	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	o__[Pedosphaerales]	f__[Pedosphaeraceae]	g__Pedosphaera	s__
cfb7c2be2639d4cc66544bc44bbc0c4d	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
ecdbf941e174bef452433fd49d61a410	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
d390c76143ecc13efb2b8a957b7b0018	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Nitrososphaerales	f__Nitrososphaeraceae	g__CandidatusNitrososphaera	s__SCA1145
1ab2f8cab0310b557e363fdf7f52eff7	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	o__[Pedosphaerales]	f__[Pedosphaeraceae]	g__	s__
6ca8beb5c9eec646c7779905d8e8c1c2	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
41d3180eee01609a6d53d19c09a85607	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__ACK-M1	g__	s__
6c8df5969a1565b782e7205b9cd667be	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__
66012bb025b201b70d944c0ae82fa0d1	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	s__acnes
5e300134983e3b3ff6442a29759daef2	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	o__[Pedosphaerales]	f__Ellin517	g__	s__
38e929f650fe69c0342fc8f733590735	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
785801ef1c11a50fa2c3e30efaef7663	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Ralstonia	s__
5f4198a219b77caa15d7f23f1ade3199	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__
717dff0019cc34dff12e002797444998	k__Bacteria	p__Chlorobi	c__BSV26	o__A89	f__	g__	s__
c4e390489e5f97cc8acad72b898a0f25	k__Bacteria	p__Verrucomicrobia	c__[Spartobacteria]	o__[Chthoniobacterales]	f__01D2Z36	g__	s__
0d0a225b2aa2ee1f16561fd2ab23a611	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__
021c5b891400b6d9b57112db2890f06c	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Chryseobacterium	s__
3efa790c3f0441aeb9d1ae97b5f1af28	k__Bacteria	p__TM7	c__TM7-3	o__EW055	f__	g__	s__
d8a65251664d81cdf0dab9cdece25d9a	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__
5d96d4febb16f459c42205ceafbe2092	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__[Roseiflexales]	f__	g__	s__
db07953dddbab65d4adc19c3b2e46154	k__Bacteria	NA	NA	NA	NA	NA	NA
b32c86625d6d1051b002c6a904077617	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	NA	NA
4a5ca7f82a005fcfa421505499dd5bf3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__
c85769ac878c36fa6aa7bbb198398617	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__
e5c1837662f9a0971be56313b4f404b2	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	NA	NA	NA	NA
98ca581155a9a76d147c4e717e9f7137	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	NA	NA
69a2611e93c598bc5a3842c55ef2067b	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__
a5fa548307791e4709108afdf6e4ae3d	k__Bacteria	NA	NA	NA	NA	NA	NA
3f151d1cc26aeff69a74181004f8873a	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
186bfeb317a90313b6e7cc611c786f0e	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__
d67ff71c74b0d02423fbbcfa617837c0	k__Bacteria	p__Chloroflexi	c__TK10	o__AKYG885	f__	g__	s__
adc7d43780cacf6d497c6fea26bc779c	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__
07b0bdb0f978579dfb2a56f989c5d964	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__FW68	f__	g__	s__
07dabf658424209b90dc41a608789d78	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__
4f2ec6e365c5998757306d65d33acdb6	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__
5e3e0f3c3ef49024ca6b13a5ec293d17	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__
9d22869e7340aa1b3631201672644a6a	k__Bacteria	p__TM6	c__SJA-4	o__	f__	g__	s__
a5c9a0c4cdeed8be3725d5d487335aa7	k__Bacteria	p__	c__	o__	f__	g__	s__
0002f55342a8997d47fef4aa46610900	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Saprospiraceae	g__	s__
2e0add2b845ccecfca5bb3f359d9a516	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Enhydrobacter	s__aerosaccus
7e65d7dd799a7cbe800a7a457415f6f2	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__kluyveri
cb4a3200e035919a359a3ee1b35d6a62	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__	g__	s__
a9f32dc03f05afaf605b1f87efd02a14	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ba85c61a1a69a84dfad01ce38eb2a94e	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__
466d491e13cee57770bf396884619ed7	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__	s__
34925bc73e3983369f39ee6a217baec2	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	NA	NA
109bfdb7a38d31bed2027b41853f759d	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__
